path_id,name,class,namespace,assembly
68,Sha224Digest,Sha224Digest,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Digests,BestHTTP
69,AnimationPlayableAsset,AnimationPlayableAsset,UnityEngine.Timeline,Unity.Timeline
70,Attributes,Attributes,BestHTTP.SecureProtocol.Org.BouncyCastle.Asn1.Cms,BestHTTP
71,BoundingBoxFollower,BoundingBoxFollower,Spine.Unity,spine-unity
72,SRP6StandardGroups,Srp6StandardGroups,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Agreement.Srp,BestHTTP
73,DefaultIOService,DefaultIOService,BestHTTP.PlatformSupport.FileSystem,BestHTTP
74,SkipAttribute,SkipAttribute,Beebyte.Obfuscator,Assembly-CSharp-firstpass
75,ConvertUtility,ConvertUtility,,Assembly-CSharp
76,PrimitiveObjectResolver,PrimitiveObjectResolver,Gpm.Common.ThirdParty.MessagePack.Resolvers,gpm_common
77,PulverizeCtrl,PulverizeCtrl,,Assembly-CSharp
78,AIPop,AIPop,,Assembly-CSharp
79,SRP6Server,Srp6Server,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Agreement.Srp,BestHTTP
80,KeyAgreeRecipientIdentifier,KeyAgreeRecipientIdentifier,BestHTTP.SecureProtocol.Org.BouncyCastle.Asn1.Cms,BestHTTP
81,Model,Model,Gpm.Common.ThirdParty.SharpCompress.Compressors.PPMd.I1,gpm_common
82,ZlibConstants,ZlibConstants,Gpm.Common.ThirdParty.SharpCompress.Compressors.Deflate,gpm_common
83,ExtensibleStoreService,ExtensibleStoreService,UnityEngine.Purchasing,Unity.Purchasing
84,IHttpClient,IHttpClient,Unity.Services.Core.Networking.Internal,Unity.Services.Core.Internal
85,SharedTableEntryMetadata,SharedTableEntryMetadata,UnityEngine.Localization.Metadata,Unity.Localization
86,ECPublicKeyParameters,ECPublicKeyParameters,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Parameters,BestHTTP
87,SkeletonData,SkeletonData,Spine,spine-csharp
88,ZipArchive,ZipArchive,Gpm.Common.ThirdParty.SharpCompress.Archives.Zip,gpm_common
89,PointAttachment,PointAttachment,Spine,spine-csharp
90,TlsKeyExchange,TlsKeyExchange,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Tls,BestHTTP
91,MapEditor,MapEditor,,Assembly-CSharp
92,KeyGenerationParameters,KeyGenerationParameters,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto,BestHTTP
93,MacSink,MacSink,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.IO,BestHTTP
94,AssetPackManager,AssetPackManager,Google.Play.AssetDelivery.Internal,Google.Play.AssetDelivery
95,RiftResultPop,RiftResultPop,,Assembly-CSharp
96,DefaultSignedAttributeTableGenerator,DefaultSignedAttributeTableGenerator,BestHTTP.SecureProtocol.Org.BouncyCastle.Cms,BestHTTP
97,GpmWebViewCallback,GpmWebViewCallback,Gpm.WebView,gpm_webview
98,ElGamalParametersGenerator,ElGamalParametersGenerator,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Generators,BestHTTP
99,RidingPetExchangePop,RidingPetExchangePop,,Assembly-CSharp
100,Animation,Animation,Spine,spine-csharp
101,NotificationIdHandler,NotificationIdHandler,Assets.SimpleAndroidNotifications.Helpers,Assembly-CSharp
102,EnvelopedDataParser,EnvelopedDataParser,BestHTTP.SecureProtocol.Org.BouncyCastle.Asn1.Cms,BestHTTP
103,DoNotFakeAttribute,DoNotFakeAttribute,Beebyte.Obfuscator,Assembly-CSharp-firstpass
104,SkeinParameters,SkeinParameters,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Parameters,BestHTTP
105,IStoreConnectionStateService,IStoreConnectionStateService,UnityEngine.Purchasing,Unity.Purchasing
106,PathVertex,PathVertex,,Assembly-CSharp
107,Srp6GroupParameters,Srp6GroupParameters,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Parameters,BestHTTP
108,UnityEventBridge,UnityEventBridge,UnityEngine.Localization.Bridge,Unity.InternalAPIEngineBridge.013
109,Certificate,Certificate,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Tls,BestHTTP
110,IssuerAndSerialNumber,IssuerAndSerialNumber,BestHTTP.SecureProtocol.Org.BouncyCastle.Asn1.Pkcs,BestHTTP
111,CStreamSwitch,CStreamSwitch,Gpm.Common.ThirdParty.SharpCompress.Common.SevenZip,gpm_common
112,PlayCoreEventHandler,PlayCoreEventHandler,Google.Play.Core.Internal,Google.Play.Core
113,IVolume,IVolume,Gpm.Common.ThirdParty.SharpCompress.Common,gpm_common
114,GuildBattleRankList,GuildBattleRankList,,Assembly-CSharp
115,SecurityParameters,SecurityParameters,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Tls,BestHTTP
116,ECGOST3410NamedCurves,ECGost3410NamedCurves,BestHTTP.SecureProtocol.Org.BouncyCastle.Asn1.CryptoPro,BestHTTP
117,SecP160R2Point,SecP160R2Point,BestHTTP.SecureProtocol.Org.BouncyCastle.Math.EC.Custom.Sec,BestHTTP
118,PkwareTraditionalEncryptionData,PkwareTraditionalEncryptionData,Gpm.Common.ThirdParty.SharpCompress.Common.Zip,gpm_common
119,HMacSP800Drbg,HMacSP800Drbg,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Prng.Drbg,BestHTTP
120,SevenZipArchiveEntry,SevenZipArchiveEntry,Gpm.Common.ThirdParty.SharpCompress.Archives.SevenZip,gpm_common
121,PlatformUtils,PlatformUtils,GooglePlayGames.OurUtils,Google.Play.Games
122,CrlListID,CrlListID,BestHTTP.SecureProtocol.Org.BouncyCastle.Asn1.Esf,BestHTTP
123,IStoreServiceExtension,IStoreServiceExtension,UnityEngine.Purchasing,Unity.Purchasing
124,UIFakeStoreWindow,UIFakeStoreWindow,UnityEngine.Purchasing,Unity.Purchasing.Stores
125,TMP_SubMeshUI,TMP_SubMeshUI,TMPro,Unity.TextMeshPro
126,GearDisassembleList,GearDisassembleList,,Assembly-CSharp
127,FetchStorefrontUseCase,FetchStorefrontUseCase,UnityEngine.Purchasing.UseCases,Unity.Purchasing
128,Pkcs5S2ParametersGenerator,Pkcs5S2ParametersGenerator,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Generators,BestHTTP
129,IAnalyticsServiceWrapper,IAnalyticsServiceWrapper,UnityEngine.Purchasing,Unity.Purchasing.Stores
130,X509AttrCertStoreSelector,X509AttrCertStoreSelector,BestHTTP.SecureProtocol.Org.BouncyCastle.X509.Store,BestHTTP
131,LazyDERSequence,LazyDerSequence,BestHTTP.SecureProtocol.Org.BouncyCastle.Asn1,BestHTTP
132,WorldBossChiefSkillList,WorldBossChiefSkillList,,Assembly-CSharp
133,X509Utilities,X509Utilities,BestHTTP.SecureProtocol.Org.BouncyCastle.X509,BestHTTP
134,CBZip2InputStream,CBZip2InputStream,Gpm.Common.ThirdParty.SharpCompress.Compressors.BZip2,gpm_common
135,VMPCKSA3Engine,VmpcKsa3Engine,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Engines,BestHTTP
136,HexEncoder,HexEncoder,BestHTTP.SecureProtocol.Org.BouncyCastle.Utilities.Encoders,BestHTTP
137,Mirror,Mirror,UnityEngine.Localization.Pseudo,Unity.Localization
138,AesFastEngine,AesFastEngine,BestHTTP.SecureProtocol.Org.BouncyCastle.Crypto.Engines,BestHTTP
